gene,UMAP1,UMAP2,cluster
AKAP6,2.2423382,-0.20830457,343
AKAP7,-1.5063981,1.1137841,344
AKAP8L,10.956904,0.33990875,345
AKAP9,9.288077,7.1141076,346
AKIP1,0.5935666,-1.5237863,347
AKIRIN1,10.729087,5.469758,348
AKIRIN2,13.371817,-2.844898,349
AKNA,1.3863425,9.719195,350
AKNAD1,-4.3349514,0.39870235,351
AKR1A1,9.920929,7.298452,352
AKR1B1,2.7229557,-1.7869163,353
AKR1B10,-6.8579545,6.505803,354
AKR1B15,-6.8568525,6.510097,354
AKR1C2,-6.8580117,6.5053673,354
AKR1C3,-6.858143,6.5054226,354
AKR1D1,-4.465886,6.581121,297
AKR1E2,0.8758919,-0.020212803,355
AKR7A3,3.3731856,5.0356245,145
AKT1,4.3769393,-6.3702188,50
AKT1S1,3.6087387,-7.548911,356
AKT2,12.6297865,-0.7672647,357
AKT3,1.5427241,-7.3474264,358
AKTIP,1.0132567,9.695632,359
ALAD,8.289384,3.416085,360
ALAS1,9.913813,-0.59935194,361
ALB,14.114779,4.6906805,362
ALCAM,-6.9971356,-2.7523236,363
ALDH16A1,9.434365,1.741649,213
ALDH18A1,11.172529,7.1256,364
ALDH1A1,-0.9234189,9.817362,365
ALDH1A2,-1.6651293,3.4803092,366
ALDH1A3,-3.3499396,2.8315592,367
ALDH1B1,6.279625,1.5150336,368
ALDH1L1,-5.6624413,6.6364374,369
ALDH1L2,5.1871295,-5.1038146,21
ALDH2,-2.4855528,8.656016,370
ALDH3A1,1.790506,13.976959,371
ALDH3A2,-1.6727878,10.0984335,372
ALDH3B2,-1.4238796,14.1617,373
ALDH4A1,8.429054,12.402529,374
ALDH5A1,10.865963,4.383576,375
ALDH6A1,-2.1432,5.758661,162
ALDH7A1,2.756659,-3.71253,376
ALDH9A1,11.1707535,7.126474,364
ALDOA,-2.0482547,-2.5808935,71
ALDOC,6.2278214,11.885915,377
ALG1,-4.798818,5.084943,378
ALG10,4.2710824,2.8495235,379
ALG10B,4.271395,2.849205,379
ALG12,-5.914313,4.9465275,42
ALG13,3.7143004,1.079837,380
ALG14,10.904387,5.87009,381
ALG2,-4.237713,4.113725,382
ALG3,-0.7400756,4.358333,383
ALG5,5.1040187,-0.5684156,384
ALG6,10.731578,5.4696865,348
ALG8,-0.8903516,-4.5008492,385
ALG9,9.80623,2.984843,386
ALK,2.2483091,-0.21373162,343
ALKAL2,12.662275,7.1829405,387
ALKBH1,2.0641766,11.175148,388
ALKBH2,8.872639,-2.5274324,389
ALKBH3,-0.84424764,2.7148314,15
ALKBH4,9.181282,-1.1206315,390
ALKBH5,7.4495234,-0.77493995,391
ALKBH6,7.9042563,-0.6607378,392
ALKBH7,8.681281,14.048882,393
ALKBH8,5.247933,13.272474,394
ALOX15,7.0733027,12.809533,118
ALOX5,5.682578,14.238357,154
ALOX5AP,7.424206,-3.8978624,395
ALPK1,5.0261393,1.3724482,396
ALPK2,-0.050749607,6.7987304,397
ALPL,-0.6546764,0.704696,398
ALPP,-1.5343252,11.816243,399
ALS2,-0.033368085,-5.336084,400
ALS2CL,-3.8554866,10.291129,401
ALX1,6.297153,-2.7068343,402
ALX3,7.1104293,-1.4282014,403
ALX4,1.7533534,-1.3088685,404
