Models,Expression.only.CV.cor,Multiomics.CV.cor
CDAN1,0.403044523,0.409453894
SLC16A1,0.433946689,0.409201089
MED24,0.451634196,0.40892509
YTHDC1,0.304025714,0.408864184
CHUK,0.421528721,0.408436875
VEZT,0.376864256,0.408340501
MRPL54,0.349019136,0.408264762
TAF5L,0.35772486,0.408017098
PFN1,0.430418958,0.407820029
STT3A,0.40051628,0.407369424
PGD,0.423424097,0.407342894
NUP50,0.246131228,0.407302793
C19orf25,0.432991015,0.407262978
NAPG,0.396476479,0.407261787
TAPT1,0.417134794,0.407116054
RXRA,0.415148274,0.406947329
FBXO11,0.371482984,0.406857907
PTPN23,0.338165953,0.406124311
XPR1,0.347365737,0.405985105
TUBA1B,0.377394839,0.405060974
TEX10,0.307300092,0.404805301
SOS1,0.410727612,0.404681393
TFAP2C,0.410785006,0.40461718
FDXR,0.428165866,0.40437418
TAF1,0.440633872,0.404359575
RBM18,0.393223113,0.404317847
ZW10,0.375480352,0.404254063
RRP7A,0.363822546,0.404233555
EIF3F,0.358094021,0.404193849
RIC1,0.389589505,0.403469769
BCAR1,0.356144238,0.403392465
BRD2,0.393692722,0.403385839
RSU1,0.413815647,0.403148242
NDE1,0.426518944,0.403113629
SKA1,0.424002716,0.403026987
RBM42,0.351838677,0.403006092
JUNB,0.406259985,0.402974796
PPIL1,0.427364871,0.402630195
MARK2,0.426992833,0.402248913
SDHC,0.417795498,0.402106086
MSTO1,0.400307673,0.401711754
PPP1R15B,0.422422101,0.401666087
PAX3,0.486915726,0.400704612
WDR73,0.363641015,0.400400142
GAB1,0.429626404,0.400362628
ELOA,0.406084907,0.400317214
RTF2,0.384096517,0.400205641
CAD,0.440340383,0.400177391
SLC7A5,0.385985619,0.400051512
SNRPB2,0.380702526,0.39997519
CAB39,0.426204604,0.399954578
PMVK,0.431440541,0.399947659
RPRD2,0.390899413,0.399635877
MMGT1,0.408793208,0.399285995
IRF2,0.425938162,0.399252335
HBS1L,0.371678639,0.399246714
PFDN1,0.437206767,0.398986192
TFDP1,0.381985494,0.398183684
OST4,0.420413256,0.397838251
HSCB,0.373705299,0.39778503
IKBKB,0.433986399,0.397740298
HNF1A,0.336566945,0.397602625
PPARG,0.385216617,0.397543761
GNB1L,0.30366675,0.397507025
TGS1,0.404230378,0.397207477
UFM1,0.405807745,0.397071415
ABCF1,0.37296875,0.396983799
SMAD7,0.400795069,0.396723986
TEAD3,0.410795823,0.396359442
DCLRE1B,0.43868521,0.395908707
SUGT1,0.384578616,0.39585175
CCDC174,0.236156026,0.395762608
RNF20,0.259251472,0.395642176
PNKP,0.325273792,0.39560982
UTP25,0.390544728,0.395590444
CCDC86,0.383494709,0.395198468
PPP1CA,0.389324667,0.394640608
ZC3H18,0.341567529,0.394591083
LIN28B,0.351546492,0.394189321
PRDM10,0.38487282,0.39361977
GFI1,0.415837181,0.393476838
CDC26,0.370341461,0.393306482
PPP2R2A,0.403843198,0.393209037
VCL,0.399553471,0.393139801
ZNF217,0.438449056,0.392784728
CTR9,0.339435652,0.392662768
WDR70,0.346511021,0.39262603
CDK2,0.386537166,0.392568416
NUDCD3,0.366181988,0.392402738
ALAS1,0.433926656,0.39172356
SNRNP48,0.332213099,0.391701378
GTF2F1,0.376784529,0.391689636
NSL1,0.320259161,0.391522485
VPS37A,0.399807684,0.391518867
TOPBP1,0.312625765,0.391442177
RASGRP2,0.304019084,0.39129799
BIRC6,0.411191646,0.39091045
USP7,0.399712979,0.390538972
HDAC2,0.378628929,0.390425832
ELP2,0.370931877,0.390351218
C19orf53,0.370897574,0.389979334
MYL12A,0.395085067,0.389599775
ELL,0.394424732,0.389032644
KNL1,0.320819005,0.388673351
WRB,0.349247448,0.388536914
SMARCB1,0.41191028,0.388389265
PPP1R12A,0.393593635,0.387998834
HEATR3,0.354086551,0.38798407
DHODH,0.446868059,0.387952765
STAT3,0.403353189,0.387940322
SLC7A1,0.441053887,0.387374993
NHLRC2,0.432374853,0.387235833
PPP6C,0.378989151,0.38721975
MRE11,0.358550385,0.38672187
DHRSX,0.4245978,0.386720023
PRPS1,0.317581611,0.38669734
LEMD2,0.432881944,0.386539279
DROSHA,0.349727645,0.386420274
TRMT5,0.324968252,0.385978562
PRELID3B,0.338154132,0.385967703
RAPGEF6,0.374976352,0.385251502
ALG6,0.408845715,0.385075943
TADA2B,0.276568084,0.384349263
HCFC1R1,0.382068611,0.383802119
UBC,0.38447707,0.383632696
WASHC4,0.366378531,0.383409266
WDR7,0.440212044,0.383377278
CRTC2,0.372756284,0.383210831
HMGCS1,0.375345299,0.382591207
NOL7,0.332761862,0.382526441
TSEN34,0.317903874,0.38236226
UFL1,0.41920946,0.381821995
ICE2,0.402609399,0.381735894
SLBP,0.349592168,0.381568838
SMARCD1,0.351591097,0.381240053
MVD,0.380916425,0.381155053
ISCA2,0.217430155,0.380849524
RPL35A,0.347731005,0.380645068
ETV6,0.401832231,0.380198269
WRN,0.435217489,0.380051535
CENPJ,0.347340884,0.379687487
AHR,0.382334578,0.379677949
IQGAP1,0.41347837,0.379625454
IARS2,0.349159042,0.379510003
N6AMT1,0.298215316,0.379313982
TIMM9,0.391043281,0.378975442
HNRNPM,0.302554498,0.37891979
SPTSSA,0.404922723,0.378901404
MGRN1,0.39666878,0.378638263
ACTG1,0.341623099,0.378439937
